train/learning_rate,time/time_elapsed,train/policy_loss,train/entropy_loss,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,time/iterations,time/fps
0.0001,73,25.84442710876465,-16.398935317993164,95.0,7920,11.973089218139648,-8.606910705566406e-05,2065.9470762771084,1741,792,107
0.0001,82,1535.93505859375,-16.353038787841797,95.0,8910,14413.375,-3.5762786865234375e-07,2064.885164666667,1840,891,107
0.0001,8,10018.35546875,-16.381206512451172,95.0,990,389033.46875,-8.344650268554688e-07,2034.4562825,1998,99,111
0.0001,18,1110.723388671875,-16.374650955200195,95.0,1980,7448.82958984375,-1.1920928955078125e-07,2071.2141862500002,2097,198,107
0.0001,27,-1.3359310626983643,-16.37087631225586,95.0,2970,17.74958038330078,-3.9577484130859375e-05,2076.4097977096776,2196,297,108
0.0001,36,-528.8148193359375,-16.277597427368164,95.0,3960,1465.0006103515625,0.0,2083.4153911219514,2295,396,109
0.0001,44,-196.276123046875,-16.284481048583984,95.0,4950,212.31881713867188,-2.9802322387695312e-06,2087.6160270576925,2394,495,110
0.0001,54,5001.095703125,-16.232755661010742,95.0,5940,122864.625,-1.1920928955078125e-07,2088.263472741936,2493,594,109
0.0001,63,2878.473388671875,-16.170495986938477,95.0,6930,36937.8984375,5.364418029785156e-07,2086.8554754444444,2592,693,108
0.0001,73,14.414739608764648,-16.214773178100586,95.0,7920,9.925466537475586,-1.633167266845703e-05,2090.095262313253,2691,792,107
0.0001,83,1438.827880859375,-16.179912567138672,95.0,8910,14241.138671875,-1.1920928955078125e-07,2093.1343004516125,2790,891,107
0.0001,9,9971.5107421875,-16.133785247802734,95.0,990,388299.3125,-4.76837158203125e-07,2025.3056101999998,2948,99,106
0.0001,18,1098.5889892578125,-16.073623657226562,95.0,1980,7407.3056640625,-1.1920928955078125e-07,2059.37923835,3047,198,104
0.0001,27,-11.013383865356445,-16.154504776000977,95.0,2970,17.414270401000977,-1.1920928955078125e-05,2059.369687451613,3146,297,107
0.0001,36,-122.3990707397461,-16.0225887298584,95.0,3960,536.7150268554688,1.1920928955078125e-07,2067.5365102682927,3245,396,107
0.0001,45,-256.7563171386719,-15.9613676071167,95.0,4950,326.0469665527344,-1.1920928955078125e-06,2073.6085825384616,3344,495,108
0.0001,54,4881.0439453125,-15.902788162231445,95.0,5940,122201.9375,-1.1920928955078125e-07,2078.3372318064517,3443,594,108
0.0001,63,2737.35400390625,-15.84179973602295,95.0,6930,36785.68359375,2.980232238769531e-07,2074.8471852499997,3542,693,108
0.0001,73,15.168660163879395,-15.979902267456055,95.0,7920,9.988701820373535,-1.2040138244628906e-05,2070.5641848554214,3641,792,107
0.0001,83,1441.478271484375,-15.905377388000488,95.0,8910,15082.2060546875,0.0,2076.7347876774197,3740,891,107
